font_family	glyph_id	unicode	character	method	occurrences_in_recovered_docs	reference_occurrences	reference_pdfs	note
times-bold	589	U+0423	У	cross-document-glyph-id	1	82	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	590	U+0424	Ф	cross-document-glyph-id	1	17	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf	
times-bold	591	U+0425	Х	cross-document-glyph-id	3	16	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	592	U+0426	Ц	cross-document-glyph-id	5	132	fstec-methodology-2026-04-12.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	595	U+0429	Щ	cross-document-glyph-id	3	12	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	597	U+042B	Ы	cross-document-glyph-id	3	14	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf	
times-bold	601	U+042F	Я	cross-document-glyph-id	1	29	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	602	U+0430	а	cross-document-glyph-id	55	1615	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	603	U+0431	б	cross-document-glyph-id	5	464	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	604	U+0432	в	cross-document-glyph-id	24	866	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	605	U+0433	г	cross-document-glyph-id	4	96	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	606	U+0434	д	cross-document-glyph-id	10	278	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	607	U+0435	е	cross-document-glyph-id	44	1850	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	608	U+0436	ж	cross-document-glyph-id	1	33	fstec-methodology-2026-04-12.pdf	
times-bold	609	U+0437	з	cross-document-glyph-id	19	356	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	610	U+0438	и	cross-document-glyph-id	52	2519	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	611	U+0439	й	cross-document-glyph-id	17	250	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	612	U+043A	к	cross-document-glyph-id	13	628	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	613	U+043B	л	cross-document-glyph-id	13	681	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
times-bold	614	U+043C	м	cross-document-glyph-id	18	504	fstec-methodology-2026-04-12.pdf,fstec-security-update-testing-2022.pdf,fstec-vulnerability-management-2023.pdf	
